Theater,Address,Current Show,Link
Al Hirschfeld Theatre,"40.75945142314842, -73.98920699206757",Moulin Rouge!,https://moulinrougemusical.com/new-york/home/
Ambassador Theatre,"40.761454207332704, -73.98512621792001",Chicago,https://chicagothemusical.com/
American Airlines Theatre,"40.75695004530752, -73.98816357373939",Upcoming: Trouble in Mind,https://www.roundabouttheatre.org/get-tickets/2021-2022-season/trouble-in-mind/
August Wilson Theatre,"40.76347142391427, -73.9842362025753",Upcoming: Pass Over,https://www.passoverbroadway.com/
Belasco Theatre,"40.75681767262568, -73.9838968314117",Girl from the North Country,https://northcountryonbroadway.com/
Bernard B. Jacobs Theatre,"40.75896352028908, -73.9877164314117",Company,https://companymusical.com/
Booth Theatre,"40.75862819451403, -73.9869996314116",Upcoming: Freestyle Love Supreme,https://freestylelovesupreme.com/
Broadhurst Theatre,"40.758308361437834, -73.98756500257554",Jagged Little Pill,https://jaggedlittlepill.com/
Broadway Theatre,"40.76341090254787, -73.98312797373922",West Side Story,https://www.westsidestorybway.com/
Brooks Atkinson Theatre,"40.75993667933148, -73.98687854490316",Six,https://sixonbroadway.com/
Circle in the Square Theatre,"40.76236267881279, -73.98500718908387",Upcoming: Chicken & Biscuits,https://chickenandbiscuitsbway.com/
Cort Theatre,"40.759327005861934, -73.98301873141163",The Minutes,https://theminutesbroadway.com/
Ethel Barrymore Theatre,"40.76018083701269, -73.98624030257547",,
Eugene O'Neill Theatre,"40.76129550772086, -73.98565890257541",The Book of Mormon,https://www.bookofmormonbroadway.com/
Gerald Schoenfeld Theatre,"40.75878454059759, -73.98726818723091",Come from Away,http://comefromaway.com/
George Gershwin Theatre,"40.76259828248959, -73.98505916424598",Wicked,https://wickedthemusical.com/
Hayes Theater,"40.75809959600035, -73.98769994490326",Upcoming: Clyde's,https://2st.com/shows/clydes
Hudson Theatre,"40.757048118106404, -73.98466941792022",Upcoming: Plaza Suite,https://plazasuitebroadway.com/
Imperial Theatre,"40.759010859891774, -73.9874817602478",Ain't Too Proud - The Life and Times of The Temptations,https://www.ainttooproudmusical.com/
John Golden Theatre,"40.758990413357346, -73.98786701606703",Upcoming: Thoughts Of A Colored Man,https://thoughtsofacoloredman.com/
Longacre Theatre,"40.76063278887714, -73.98590396024774",Diana,https://thedianamusical.com/
Lunt-Fontanne Theatre,"40.759299379386086, -73.98593816024781",Tina—The Tina Turner Musical,https://tinaonbroadway.com/
Lyceum Theatre,"40.75789723841368, -73.98470607900617",,
Lyric Theatre,"40.75713395259996, -73.98765208908402",Harry Potter and the Cursed Child,https://broadway.harrypottertheplay.com/
Majestic Theatre,"40.75849217032891, -73.98819922903836",The Phantom of the Opera,https://us.thephantomoftheopera.com/
Marquis Theatre,"40.759035159838405, -73.98637817373934",,
Minskoff Theatre,"40.75808893815789, -73.98595567715326",The Lion King,https://www.lionking.com/
Music Box Theatre,"40.759005513320346, -73.98720673141165",Dear Evan Hansen,https://dearevanhansen.com/
Nederlander Theatre,"40.75571901115869, -73.98827217373945",The Lehman Trilogy,https://www.thelehmantrilogy.com/
Neil Simon Theatre,"40.76326974342161, -73.98440791606693",Upcoming: MJ: The Musical,https://mjthemusical.com/
New Amsterdam Theatre,"40.75640153594095, -73.98794773141172",Aladdin,https://aladdinthemusical.com/
Palace Theatre,"40.75919018658137, -73.98459487373934",,
Richard Rodgers Theatre,"40.75929002605319, -73.98665700072245",Hamilton,https://hamiltonmusical.com/new-york/home/
Samuel J. Friedman Theatre,"40.76041316277095, -73.9868676282259",How I Learned to Drive,https://www.manhattantheatreclub.com/shows/2021-22-season/lackawanna-blues/
Shubert Theatre,"40.758352236460226, -73.98717133141166",To Kill a Mockingbird,https://tokillamockingbirdbroadway.com/
St. James Theatre,"40.7582321137478, -73.98826360205524",Upcoming: American Utopia,https://americanutopiabroadway.com/
Stephen Sondheim Theatre,"40.75607730168667, -73.98492674490329",Mrs. Doubtfire,https://mrsdoubtfirebroadway.com/
Studio 54,"40.764524925858765, -73.98378350257528","Upcoming: Caroline, or Change",https://www.roundabouttheatre.org/get-tickets/2021-2022-season/caroline-or-change/
Vivian Beaumont Theater,"40.77364175294032, -73.98449226024735",Upcoming: Flying Over Sunset,https://www.lct.org/shows/flying-over-sunset/
Walter Kerr Theatre,"40.760927141006185, -73.9856562737393",Hadestown,https://www.hadestown.com/
Winter Garden Theatre,"40.76185072126001, -73.98370899990991",Upcoming: The Music Man,https://musicmanonbroadway.com/
